id,name,class,type,threat,signs,behaviors,actions,weaknesses,kill,skills
vengeful_spirit,Vengeful Spirit / Onryo,violent_spirit,Spirit,3,anger imprint; same person seen repeatedly; records tied to suspects; temperature drop near keepsake,escalates over time; targets a list; becomes more physical as it rises,manifest strike; fear aura; targeted haunting,remains; emotional resolution,locate remains and burn them or resolve the grudge,Investigation; Occult Knowledge; Spirit Communication
poltergeist,Poltergeist,violent_spirit,Chaotic Spirit,3,objects thrown; activity centered around one person; EMF spikes; broken glass in safe rooms,builds pressure; lashes out through environment; centers on emotional source,telekinetic assault; environmental manipulation; escalation surge,source individual; emotional stabilization,identify anchor person and remove or resolve emotional trigger,Awareness; Investigation; Composure
wraith,Wraith,violent_spirit,Spirit,3,life-drain marks; shadows moving independently; cold around tether; mirrors dim near target,stalks from dark; avoids direct light; feeds before manifesting,life drain; shadow step; tether pull,silver; tether object,destroy tether object after revealing it,Presence Sense; Occult Knowledge; Investigation
woman_in_white,Woman in White,human_tied,Tragic Spirit,2,roadside apparition; hitchhiker reports; phrase repeated by victims; water or rain motif,lures emotionally vulnerable targets; repeats last moments; brief possession during spikes,luring presence; echo loop; limited possession,truth of betrayal; proper rest,resolve emotional loop or lay remains to rest,Insight; Spirit Communication; Investigation
possessor,Possessor Demon,human_tied,Infernal,3,blackouts; personality inversion; sulfur trace; black-eyed reflection,hides in host; isolates allies; uses social access,borrowed face; pain split; host override,exorcism; holy water; binding sigils,"separate demon from host, trap or banish before repossession",Ritual Casting; Composure; Occult Knowledge
grief_haunt,Grief Haunt,human_tied,Spirit,2,mourning object moves; dreams of deceased; family cannot leave home; photos weep or burn,feeds on unresolved grief; protects anchor family; punishes denial,memory loop; emotional pressure; spirit interference,truth; mourning object; ritual release,"name the grief, resolve the anchor, cleanse the mourning object",Insight; Spirit Communication; Composure
werewolf,Werewolf / Rugaru,creature_hunt,Predator,3,large prints; animal attack too precise; silver aversion; survivor with bite fever,hunts by scent; attacks isolated prey; flees bad odds,pounce; maul; track by blood,silver; bait trap; moon cycle knowledge,silver strike to heart or complete entity-specific kill condition,Tracking; Firearms; Survival
vampire,Vampire,creature_hunt,Undead Predator,3,bloodless bodies; glamoured witness; night-only sightings; old property records,uses charm; nests near food source; controls thralls,bite; thrall command; predatory charm,sunlight; heart destruction; dead blood trail,destroy heart and force sunlight or sanctified end condition,Investigation; Firearms; Occult Knowledge
wendigo,Wendigo,creature_hunt,Apex Beast,5,half-eaten bodies; familiar voices in dark; unnatural cold; huge thin prints,mimics voices; ambushes from cold; gains after feeding,voice mimic; frenzy; ambush predator,fire; starving manifestation window,burn completely before it feeds again,Survival; Tracking; Firearms
djinn,Djinn,ritual_occult,Entity,4,contradicting stories; reality mismatch; sleeping victims living fantasies; sealed vessel nearby,isolates targets; twists desire; hides truth behind comfort,reality illusion; isolation trap; wish distortion,vessel; binding phrase,destroy or seal the vessel,Occult Knowledge; Investigation; Ritual Casting
crossroads_demon,Crossroads Demon,ritual_occult,Infernal Contract Entity,4,sudden success followed by tragedy; contract traces; calm stranger; crossroads token,never lies outright; twists meaning; waits for consent,contract binding; word twist; possession escape,contract loophole; anchor object; true name,"break contract or destroy anchor, then bind by true name",Insight; Occult Knowledge; Research
changeling,Changeling,ritual_occult,Fae,2,personality shift; missing history; subtle household errors; iron aversion,studies household; protects false identity; avoids open combat,perfect mimicry; memory softening; social infiltration,iron; true identity reveal; family truth rite,"reveal true form, break exchange bargain, strike with iron or force retreat",Insight; Investigation; Iron Handling
redcap,Redcap,creature_hunt,Predatory Fae,3,rust-colored footprints; old blood in corners; broken teeth; ruined stonework,hunts stragglers; loves cellars and ruins; gets bold after injury,butcher rush; stone-hop; cap of blood,iron; consecrated ground; loss of cap,"corner away from blood source, ruin cap, finish with iron",Tracking; Melee Combat; Survival
veil_render,Veil Render,ritual_occult,High Demon / Rift Manipulator,4,doors lead wrong; maps fail; missing time; unstable ward geometry,traps before attacking; denies exits; uses false space,veil split; false space; exit denial,stable sacred geometry; repaired wards; true anchor location,"collapse rift structure, then banish or bind before veil reseals",Navigation; Occult Knowledge; Warding
